row	kind	dst	aux	hint	depth_after
0	jmp	4194320	0	0	0
1	cal	4194320	4194336	0	1
2	cal	4194320	4194336	0	2
3	cal	4194320	4194336	0	3
4	cal	4194320	4194336	0	4
5	cal	4194320	4194336	0	5
6	cal	4194320	4194336	0	6
7	cal	4194320	4194336	0	7
8	cal	4194320	4194336	0	8
9	cal	4194320	4194336	0	9
10	cal	4194320	4194336	0	10
11	cal	4194320	4194336	0	11
12	cal	4194320	4194336	0	12
13	cal	4194320	4194336	0	13
14	cal	4194320	4194336	0	14
15	cal	4194320	4194336	0	15
16	cal	4194320	4194336	0	16
17	cal	4194320	4194336	0	17
18	cal	4194320	4194336	0	18
19	cal	4194320	4194336	0	19
20	cal	4194320	4194336	0	20
21	cal	4194320	4194336	0	21
22	cal	4194320	4194336	0	22
23	cal	4194320	4194336	0	23
24	cal	4194320	4194336	0	24
25	cal	4194320	4194336	0	25
26	cal	4194320	4194336	0	26
27	cal	4194320	4194336	0	27
28	cal	4194320	4194336	0	28
29	cal	4194320	4194336	0	29
30	cal	4194320	4194336	0	30
31	cal	4194320	4194336	0	31
32	cal	4194320	4194336	0	32
33	ret	4194336	0	32	31
34	jmp	4194320	0	0	31
35	ret	4194336	0	31	30
36	jmp	4194320	0	0	30
37	ret	4194336	0	30	29
38	jmp	4194320	0	0	29
39	ret	4194336	0	29	28
40	jmp	4194320	0	0	28
41	ret	4194336	0	28	27
42	jmp	4194320	0	0	27
43	ret	4194336	0	27	26
44	jmp	4194320	0	0	26
45	ret	4194336	0	26	25
46	jmp	4194320	0	0	25
47	ret	4194336	0	25	24
48	jmp	4194320	0	0	24
49	ret	4194336	0	24	23
50	jmp	4194320	0	0	23
51	ret	4194336	0	23	22
52	jmp	4194320	0	0	22
53	ret	4194336	0	22	21
54	jmp	4194320	0	0	21
55	ret	4194336	0	21	20
56	jmp	4194320	0	0	20
57	ret	4194336	0	20	19
58	jmp	4194320	0	0	19
59	ret	4194336	0	19	18
60	jmp	4194320	0	0	18
61	ret	4194336	0	18	17
62	jmp	4194320	0	0	17
63	ret	4194336	0	17	16
64	jmp	4194320	0	0	16
65	ret	4194336	0	16	15
66	jmp	4194320	0	0	15
67	ret	4194336	0	15	14
68	jmp	4194320	0	0	14
69	ret	4194336	0	14	13
70	jmp	4194320	0	0	13
71	ret	4194336	0	13	12
72	jmp	4194320	0	0	12
73	ret	4194336	0	12	11
74	jmp	4194320	0	0	11
75	ret	4194336	0	11	10
76	jmp	4194320	0	0	10
77	ret	4194336	0	10	9
78	jmp	4194320	0	0	9
79	ret	4194336	0	9	8
80	jmp	4194320	0	0	8
81	ret	4194336	0	8	7
82	jmp	4194320	0	0	7
83	ret	4194336	0	7	6
84	jmp	4194320	0	0	6
85	ret	4194336	0	6	5
86	jmp	4194320	0	0	5
87	ret	4194336	0	5	4
