row	kind	dst	aux	hint	depth_after
0	jmp	4194320	0	0	0
1	cal	4194320	4194336	0	1
2	cal	4194320	4194336	0	2
3	cal	4194320	4194336	0	3
4	cal	4194320	4194336	0	4
5	cal	4194320	4194336	0	5
6	cal	4194320	4194336	0	6
7	cal	4194320	4194336	0	7
8	cal	4194320	4194336	0	8
9	ret	4194336	0	8	7
10	jmp	4194320	0	0	7
11	ret	4194336	0	7	6
12	jmp	4194320	0	0	6
13	ret	4194336	0	6	5
14	jmp	4194320	0	0	5
15	ret	4194336	0	5	4
16	jmp	4194320	0	0	4
17	ret	4194336	0	4	3
18	jmp	4194320	0	0	3
19	ret	4194336	0	3	2
20	jmp	4194320	0	0	2
21	ret	4194336	0	2	1
22	jmp	4194320	0	0	1
23	ret	4194336	0	1	0
24	jmp	4194320	0	0	0
25	cal	4194320	4194336	0	1
26	cal	4194320	4194336	0	2
27	cal	4194320	4194336	0	3
28	cal	4194320	4194336	0	4
29	cal	4194320	4194336	0	5
30	cal	4194320	4194336	0	6
31	cal	4194320	4194336	0	7
32	cal	4194320	4194336	0	8
33	ret	4194336	0	32	7
34	jmp	4194320	0	0	7
35	ret	4194336	0	31	6
36	jmp	4194320	0	0	6
37	ret	4194336	0	30	5
38	jmp	4194320	0	0	5
39	ret	4194336	0	29	4
40	jmp	4194320	0	0	4
41	ret	4194336	0	28	3
42	jmp	4194320	0	0	3
43	ret	4194336	0	27	2
44	jmp	4194320	0	0	2
45	ret	4194336	0	26	1
46	jmp	4194320	0	0	1
47	ret	4194336	0	25	0
48	jmp	4194320	0	0	0
49	jmp	4194352	0	0	0
50	jmp	4194320	0	0	0
51	jmp	4194352	0	0	0
52	jmp	4194320	0	0	0
53	jmp	4194352	0	0	0
54	jmp	4194320	0	0	0
55	jmp	4194352	0	0	0
56	jmp	4194320	0	0	0
57	jmp	4194352	0	0	0
58	jmp	4194320	0	0	0
59	jmp	4194352	0	0	0
60	jmp	4194320	0	0	0
61	jmp	4194352	0	0	0
62	jmp	4194320	0	0	0
63	jmp	4194352	0	0	0
